idx,label,cate
0,0001-pm,普通怪
1,0002-xz,可破坏物
2,0003-gz,可破坏物
3,0004-zz,普通怪
4,0005-xz,普通怪
5,0008-zc,精英怪
6,0009-mt,可破坏物
7,0010-gz,可破坏物
8,0011-zw,普通怪
9,0012-xszyz,普通怪
10,0013-zq,普通怪
11,0014-zz,普通怪
12,0015-jc,普通怪
13,0018-llz,普通怪
14,0019-ydzy,普通怪
15,0020-hfzy,普通怪
16,0021-yzsb,普通怪
17,0028-jcyg,普通怪
18,0029-tg,可破坏物
19,0030-gz,可破坏物
20,0031-rmjq,普通怪
21,0033-yq,普通怪
22,0035-mys,普通怪
23,0038-frls-km,普通怪
24,0039-frls-lj,普通怪
25,0042-wb,普通怪
26,0044-qq,可破坏物
27,0045-kl,可破坏物
28,0046-jmjt-ymxs,普通怪
29,0048-jmjt-qpmf,普通怪
30,0049-jmjt-thhg,普通怪
31,0051-jmjt-ftbt,普通怪
32,0052-yymy-wxzlps,普通怪
33,0053-yymy-hwcyjz,普通怪
34,0060-mnyz-xcrk,模拟宇宙下层入口
35,0061-mnyz-sj,模拟宇宙事件
36,0062-mnyz-cjjl,模拟宇宙沉浸奖励
37,0063-mnyz-ht,模拟宇宙黑塔
38,0066-mnyz-xcrkwjh,模拟宇宙下层入口未激活
39,0068-bsd,界面提示被锁定
40,0069-kgj,界面提示可攻击
